LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,SERIAL_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,ITEM_NO,INVOICE_TEXT,BILL_AMOUNT,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,1,51142-03,51142,192,2,2019,5,2,"Invoice number 3192749 received from VeriServe Solutions, Inc. for serving Defendant, Rogelio R. Figueroa.",120.00,51,0,admin,2019-05-31
EN,1,51142-03,51142,642,1,2019,6,1,Fees Billed on Invoice #: 642,57410.00,51,0,admin,2019-06-30
EN,1,51142-03,51142,642,2,2019,6,2,"Prepaid one night hotel at Dublin, Ohio for Liborio Deposition.",250.04,51,0,admin,2019-06-30
EN,1,51142-03,51142,1071,1,2019,7,1,Fees Billed on Invoice #: 1071,9793.50,51,0,admin,2019-07-31
EN,1,51142-03,51142,1071,2,2019,7,2,"Filing Fee for filing Civil Process Request form to obtain a new citation to personally serve Defendant, JBS Structural Repair, LLC.",13.63,51,0,admin,2019-07-31
EN,1,51142-03,51142,1071,2,2019,7,2,"Invoice for service processer, William Kesman. Invoice number: 3192709",310.00,51,0,admin,2019-07-31
EN,1,51142-03,51142,1861,1,2019,8,1,Fees Billed on Invoice #: 1861,4565.00,51,0,admin,2019-08-31
EN,1,51142-03,51142,1861,2,2019,8,2,Filing fee for filing Plaintiff's Motion to Withdraw as Counsel.,5.40,51,0,admin,2019-08-31
EN,1,51142-03,51142,2322,1,2019,9,1,Fees Billed on Invoice #: 2322,28327.50,51,0,admin,2019-09-30
EN,1,51142-03,51142,2322,2,2019,9,2,Filing Fee for Release of Lien filed with Dallas County Clerk's Office.,50.00,51,0,admin,2019-09-30
EN,1,51142-03,51142,2781,1,2019,10,1,Fees Billed on Invoice #: 2781,3866.00,51,0,admin,2019-10-31
EN,1,51142-03,51142,2901,2,2019,10,2,Invoice# 110135,1690.50,51,0,admin,2019-10-30
EN,1,51142-03,51142,2901,2,2019,10,2,Invoice# 110680,6582.91,51,0,admin,2019-10-30
EN,1,51142-03,51142,3266,1,2019,11,1,Fees Billed on Invoice #: 3266,1360.00,51,0,admin,2019-11-30
EN,1,51142-03,51142,3266,2,2019,11,2,Invoice#3590544 for serving Defendant JBS Structural Repair LLC via Texas Secretary of State.,270.00,51,0,admin,2019-11-30
EN,1,51142-03,51142,3389,2,2019,12,2,"Certified Copies on Harris County District Clerk for Ortegas Properties, LLC.",2.00,51,0,admin,2019-12-31
EN,1,51142-03,51142,3389,1,2019,12,1,Fees Billed on Invoice #: 3389,21339.25,51,0,admin,2019-12-31
EN,1,51142-03,51142,3389,2,2019,12,2,Filing Fee for requesting citation for Jose Jimenez to be issued via certified mail.,95.94,51,0,admin,2019-12-31
EN,1,51142-03,51142,3389,2,2019,12,2,"Filing Notice of Submissions for all opposing councel, Plaintiffs Motions, Exhibits, and Proposed Final Judgement.",13.36,51,0,admin,2019-12-31
EN,1,51142-03,51142,3389,2,2019,12,2,Filing notice of sumbission to defendants (4 filings) for Jacob M. Monty by Dineh Vidal.,3.34,51,0,admin,2019-12-31
